@GS91,GSPSPR - S&P Specialty Retail
@GS24,GSPSTEEL - S&P Iron & Steel
@GT49,GSPSYSF - S&P Systems Software
@GT42,GSPT - S&P Information Technology
@GT50,GSPTEHW - S&P Technology Hardware & Equi
@GT65,GSPTELP - S&P Telephone
@GS75,GSPTEX - S&P Textiles & Apparel
@GS76,GSPTEXT - S&P Textiles (Apparel)
@GS62,GSPTIRE - S&P Tires & Rubber
@GS42,GSPTKCD - S&P Electronics (Compo Distrib
@GT46,GSPTKCS - S&P Services (Computer Systems
@GS46,GSPTKDP - S&P Services (Data Processing)
@GT56,GSPTKPR - S&P Computers (Peripherals)
@GT61,GSPTKSM - S&P Equipment (Semicond)
@GT79,GSPTMF - S&P Ind Thrifts & Mort Finance
@GT99,GSPTMFN - S&P SI Thrifts&Mort Finance
@GT10,GSPTOBA - S&P Tobacco
@GS73,GSPTOYS - S&P Leisure Time (Products)
@GS41,GSPTRA - S&P Trading Companies & Distrib
@GS51,GSPTRN - S&P Transportation
@GS53,GSPTRNM - S&P Air Freight
@GT68,GSPU - S&P UTILITIES
@GT66,GSPWTES - S&P Wireless Telecommunication
TRGSPA,Health Care Total Return Index
^IMEC,ICE Middle East Sour Crude Markers
TRGSPI,Industrials TR Index
TRGSPT,Information Technology TR Index
XII,Institutional Index (o)
IIX,Inter@ctive Internet Index
HHI,INTERNET AND HOLDRS INDEX
XAH,INTERNET ARCHITECT INDEX
YIH,INTERNET INFRASTRUCT INDEX
IXZ,ISE 250
RND,ISE Bio-Pharmaceuticals
HSX,ISE CCM Homeland Security
HVY,ISE Gold
RUF,ISE Homebuilders
OOG,ISE Oil and Gas Services
BYT,ISE Semiconductors
SIN,ISE SINdex
JLO,ISE U.S. Regional Banks
TNY,ISE-CCM Nanotechnology Index
RDG,ISHARES TR RUSSELL MID CAP GROWTH INDEX
RMC,ISHARES TR RUSSELL MID CAP INDEX
RMV,ISHARES TR RUSSELL MID CAP VALUE INDEX
KSX,KBW Capital Markets Index
KIX,KBW INSURANCE INDEX
MFX,KBW Mortgage Finance Index
KRX,KBW Regional Banking Index
XKH,MARKET 2000 + HLDRS INDEX
TRGSPM,Materials TR Index
MLO,MERRILL LYNCH TECHNOLOGY 100 INDEX
MNX,"Mini Nasdaq 100 Index (n,q)"
RMN,Mini Russell 2000
EUX,ML & Co Major II Intl Index
MOX,MORGAN STAN INTERNET IDX
CYC,Morgan Stanley Cyclical Index
CRX,MS Commodity Related Equity Index
NFT,MS Multi-National Company Index
IXBK,Nasd Banks Index
IXBT,Nasd Biotech Index
IXK,Nasd Computer Index
IXF,Nasd Financial Index
IXID,Nasd Industrial Index
