3IN.L,3I Infrastructure
EXPN.L,Experian Group
EXXS.L,ENERGY XXI
EZJ.L,EASYJET PLC ORD 25P
FAMT.L,Framlington Aim VCT 2
FAN.L,FIRST ARTIST CORPORATION PLC
FAS.L,Fidelity Asian
FBDU.L,Flying Brands Ltd Shares
FBT.L,FORBIDDEN TECH ORD 0.8P
FCAM.L,F&C Asset Mngt
FCCN.L,French Connection Group plc
FCI.L,F&C Cap & Inc It
FCU.L,For. & Col. Euro.
FDBK.L,Feedback
FDI.L,Firestone Diamonds Plc Ord 20p
FDL.L,Findel Plc
FDMG.L,FDM Group
FDP.L,FISRT DERIVATIVE
FDSA.L,Fidessa Group
FDT.L,1ST DENTAL LABORATORIES 10P
FEN.L,FRENKEL TOPP GB
FENR.L,Fenner plc
FEP.L,Forum Energy
FEV.L,Fid. Euro. Val.
FFA.L,FFASTFILL PLC ORD 1P
FFY.L,Fyffes
FGN.L,Futuragene
FGP.L,Firstgroup
FGT.L,Finsbury Growth
FIF.L,Finsbury Food Group
FIP.L,FUSION IP
FITB.L,FITBUG HLD
FKE.L,FISKE
FKL.L,Falkland Islands Hldgs
FLK.L,Fletcher King
FLTR.L,Filtrona
FMJ.L,FORMJET GB
FND.L,Finders Resources
FPM.L,Faroe Petro
FPO.L,FIRST PROPERTY ONLINE PLC 1P
FPT.L,Forth Ports plc
FQM.L,FIRST QUANTUM MINERALS LD COM
FRCL.L,Foreign Colonial Investment Trust
FRES.L,Fresnillo
FRM.L,Formation Group
FRO.L,Frontline
FRR.L,FRONTERA RES WI
FSC.L,F&C US SMALL CO
FSG.L,Focus Solutions Group
FSJ.L,Fisher (James) & Sons plc
FSTA.L,Fuller, Smith & Turner plc
FTC.L,Filtronic Comtek plc
FTD.L,Foresight 3 VCT
FTF.L,Foresight 4 VCT
FTN.L,Foresight 2 VCT
FTO.L,Fortune Oil plc
FTS.L,Formula Telecom Solutions
FTV.L,Foresight Technology VCT
FUL.L,FULCRUM PHARMA
FUM.L,FUTURA MEDICAL
FUS.L,F&C UK Select Trust
FUTR.L,Future Network plc ord 1p
FWEB.L,Fiberweb
FXC.L,ISHS FTSE/XINHUA
FXPO.L,Ferrexpo
GAL.L,Galantas Gold Corporation
GAR.L,Garner
GAS.L,Gasol
GBF.L,Gem Biofuels
GBG.L,GB GROUP
GBR.L,GLOBAL BRANDS SA
GCM.L,Global Coal Mgmt
GCO.L,GREEN CO2
GDG.L,Green Dragon Gas
GDWN.L,GOODWIN
GED.L,Gbl ENERGY
GEM.L,Gemfields Resources
GEMD.L,Gem Diamonds
GEO.L,Gartmore European Investment Trust
GETM.L,Getmobile Europe
GFM.L,Griffin Mining
GFRD.L,GALLIFORD TRY
GFRM.L,Galiform
GFS.L,Grp 4 Securicor
GGG.L,CENTRAL CHINA
GGL.L,Gartmore Global Trust
GGOR.L,Gartmore Growth Opportunities
GGP.L,Greatland Gold
GHE.L,GRESHAM HOUSE
GHH.L,GOOCH & HOUSEGO
GHT.L,Gresham Computing plc
GIR.L,GARTMORE IRISH SMALL PLC O 25P
GKN.L,GKN
GKO.L,Greenko Group
GLB.L,Glanbia
GLBS.L,Globus Maritime
GLD.L,Gladstone Plc Ord 0.01p
GLE.L,Gleeson (M.J.) Group plc
GLI.L,GLISTEN
GLIF.L,GREENWICH LOAN
GMA.L,GMA RESOURCES
GMF.L,Gart Fledg Idx ord 25p
GMG.L,Game Group
GMNT.L,Gottex Market Neutral Trust
GNC.L,Greencore Group
GNG.L,Geong International
GNK.L,Greene King plc
GNS.L,GENUS
GO.L,GlobeOp Financial Services S.A.
GOAL.L,Goals Soccer Centres
GOG.L,Go-Ahead Group plc
GOI.L,GoIndustry
GON.L,GALLEON HLDGS
GOO.L,Gold Oil
GPE.L,GRAPHITE ENTERPRISE TRT PLC
GPG.L,Guinness Peat Group plc
GPK.L,Geopark Holdings
GPOR.L,Great Portland Estates plc
GPRT.L,Goldenport Holdings
GRG.L,Greggs plc
GRH.L,GR Holdings
GRI.L,Grainger Trust plc
GRL.L,Goldstone Res
GSDO.L,Goldman Sachs Dynamic Opp
GSK.L,Glaxo Smithkline plc
GSS.L,Genesis E.M.F.
GTC.L,GETECH GROUP
GTE.L,GAS TURBINE EFF
GTL.L,GTL RESOURCES
GTX.L,GENETIX GROUP
GWP.L,GW PHARMA PLC ORD 0.1P
HAIK.L,Haike Chemical Group
HAMP.L,Hampson Industries plc
HAN.L,Hansa Trust
HANA.L,Hansa Trust A
HAR.L,HARVARD INTER
HAS.L,Hays plc
HAT.L,H&T Group
HAWK.L,Nighthawk Energy
HBR.L,Holidaybreak Plc
HCFT.L,Highcroft Inv.
HCM.L,Hutchison China Meditech
HCP.L,HOTEL CORPORATION
HDD.L,Hardide
HDIV.L,Henderson Diversified Income
HDT.L,Holders Tech.
HDU.L,HARDY UNDERWRITING GRP ORD 20P
HDY.L,HARDY OIL & GAS
HEAD.L,Headlam Group plc
HEGY.L,Helius Energy
