1pm,OPM.L
Eco Animal Health,EAH.L
Eco City Vehicles,ECV.L
ECOFIN WPO 0.1P,ECW.L
Edin US Tracker,EUS.L
Edin. UK Tracker,EUK.L
Edin. Wwide Inv.,EWI.L
Edinburgh Investment Trust,EDIN.L
Edinburgh New Income Trust,ENI.L
Education Dev Intl,EDD.L
EFM Dragon Trust,EFM.L
EG SOLUTIONS,EGS.L
Egdon Reources,EDR.L
Egypt Trust,EGP.L
EIH,EIH.L
Elderstreet VCT,EDV.L
Eleco Holdings,ELCO.L
Electra Investment Trust,ELTA.L
Electric Inv,ECIT.L
ELECTRIC WORD PLC ORD 1P,ELE.L
Electrocomponents plc Ord 10p,ECM.L
Electronic Data Processing plc,EDP.L
Elektron,EKT.L
Elementis,ELM.L
Emblaze Systems,BLZ.L
EMED Mining Public,EMED.L
EMPRESARIA GROUP GB,EMR.L
Empyrean Energy,EME.L
Encore Oil,EO.L
Endace,EDA.L
Energetix Group,EGX.L
ENERGISER INVE,ENGI.L
Energy Tech.,ETQ.L
ENERGY XXI,EXXS.L
Energybuild Group,EBG.L
Enfis Group,ENF.L
ENGEL EAST EUR,EEE.L
Enova Systems,ENV.L
ENSOR HOLDINGS,ESR.L
Enterprise Inns,ETI.L
Entertainment One,ETO.L
ENV Recycling TC,ENRT.L
EP Global OP Test,EPG.L
EPE SPL OPPRT,ESOE.L
Epicure Qatar Equity Opp.,EQEO.L
Epistem Holdings,EHP.L
EQUEST BALK PRP,EBP.L
Equest Investments Balkans,EIB.L
Equity Part Cap,EQP.L
EREDENE CAPITAL,ERE.L
Eros International,EROS.L
ERUMA,ERU.L
ESSENDEN,ESSES.L
Establishment Investment Trust,ET.L
ET-china.com International Hldgs,ETC.L
ETFS AGRICUL,AIGA.L
ETFS ALL COMS,AIGC.L
ETFS ALUMINIUM,ALUM.L
ETFS COFFEE,COFF.L
ETFS COPPER,COPA.L
ETFS CORN,CORN.L
ETFS COTTON,COTN.L
ETFS CRUDE OIL,CRUD.L
ETFS ENERGY,AIGE.L
ETFS EX-ENERGY,AIGX.L
ETFS Forward Agriculture DJ AIGCI,FAGR.L
ETFS Forward Heating Oil,HEAF.L
ETFS Forward Lean Hogs,HOGF.L
ETFS Forward Live Cattle,CATF.L
ETFS Forward Livestock DJ AIGCI,FLIV.L
ETFS GOLD,BULL.L
ETFS GRAINS,AIGG.L
ETFS HEATING,HEAT.L
ETFS IND METALS,AIGI.L
ETFS L.CATTLE,CATL.L
ETFS LEAN HOGS,HOGS.L
ETFS LEV SILVER ETFS LEVERAGED,LSIL.L
ETFS Leveraged Platinum,LPLA.L
ETFS LIVESTOCK,AIGL.L
ETFS NAT.GAS,NGAS.L
ETFS NICKEL,NICK.L
ETFS Oil Securities,OILB.L
ETFS PETROL,AIGO.L
ETFS Physical Gold,PHAU.L
ETFS Physical Palladium,PHPD.L
ETFS Physical Platinum,PHPT.L
ETFS Physical PPSG Bskt,PHPM.L
ETFS Physical Silver,PHAG.L
ETFS PREC.METAL,AIGP.L
ETFS Short All Commodities DJ-AIGCI,SALL.L
ETFS Short Aluminium,SALU.L
ETFS Short Cocoa,SCOC.L
ETFS Short Corn,SCOR.L
ETFS Short Crude Oil,SOIL.L
ETFS Short Energy DJ-AIGCI,SNRG.L
ETFS Short Gasoline,SGAS.L
ETFS Short Heating Oil,SHEA.L
ETFS Short Industrial Metals DJ-AIGCI,SIME.L
ETFS Short Natural Gas,SNGA.L
ETFS Short Nickel,SNIK.L
ETFS Short Petroleum DJ-AIGCI,SPET.L
ETFS Short Wheat,SWEA.L
ETFS SILVER,SLVR.L
ETFS SOFT,AIGS.L
ETFS SOYBEANS,SOYB.L
ETFS SOYBN.OIL,SOYO.L
ETFS SUGAR,SUGA.L
ETFS WHEAT,WEAT.L
ETFS ZINC,ZINC.L
EURASIA MINING PLC ORD 5P,EUA.L
Eurasian Natural Resources Corp,ENRC.L
Euro. Assets,EAT.L
Euromoney Publications plc,ERM.L
Europa Oil & Gas,EOG.L
European Convergence Dev. Co,ECDC.L
EUROPEAN NICKEL GB,ENK.L
EUROVESTECH,EVT.L
EVOLUTION GROUP PLC ORD 1P,EVG.L
EXC PLC GB,EXC.L
eXpansys,XPS.L
Experian Group,EXPN.L
F & C Smlr.,FCS.L
F&C Asset Mngt,FCAM.L
F&C Cap & Inc It,FCI.L
F&C PRIVAT EQ B,FPEB.L
F&C UK Select Trust,FUS.L
F&C US SMALL CO,FSC.L
Fairpoint Grp,FRPG.L
Falkland Islands Hldgs,FKL.L
Faroe Petro,FPM.L
FDM Group,FDMG.L
Feedback,FDBK.L
Fenner plc,FENR.L
Ferrexpo,FXPO.L
FFASTFILL PLC ORD 1P,FFA.L
Fiberweb,FWEB.L
Fid. Euro. Val.,FEV.L
Fid. Jap. Val.,FJV.L
Fid. Sp. Val.,FSV.L
Fidelity Asian,FAS.L
Fidessa Group,FDSA.L
Filtrona,FLTR.L
Filtronic Comtek plc,FTC.L
Findel Plc,FDL.L
Finders Resources,FND.L
Finsbury Food Group,FIF.L
Finsbury Growth,FGT.L
Finsbury Wwide,FWP.L
Firestone Diamonds Plc Ord 20p,FDI.L
FIRST ARTIST CORPORATION PLC,FAN.L
FIRST PROPERTY ONLINE PLC 1P,FPO.L
FIRST QUANTUM MINERALS LD COM,FQM.L
Firstgroup,FGP.L
Fisher (James) & Sons plc,FSJ.L
FISKE,FKE.L
FISRT DERIVATIVE,FDP.L
FITBUG HLD,FITB.L
Fletcher King,FLK.L
Flying Brands Ltd Shares,FBDU.L
Focus Solutions Group,FSG.L
For. & Col. Euro.,FCU.L
FORBIDDEN TECH ORD 0.8P,FBT.L
Foreign Colonial Investment Trust,FRCL.L
Foresight 2 VCT,FTN.L
Foresight 3 VCT,FTD.L
Foresight 4 VCT,FTF.L
Foresight Technology VCT,FTV.L
Formation Group,FRM.L
FORMJET GB,FMJ.L
Formula Telecom Solutions,FTS.L
Forth Ports plc,FPT.L
Fortune Oil plc,FTO.L
Forum Energy,FEP.L
Framlington Aim VCT 2,FAMT.L
FRAMLINGTON INNOVATIVE GROWTH,FIT.L
French Connection Group plc,FCCN.L
FRENKEL TOPP GB,FEN.L
Fresnillo,FRES.L
FRONTERA RES WI,FRR.L
Frontline,FRO.L
FTSE 250 Mid Cap Index,FTMC.L
FTSE 350 Large Cap Index,FTLC.L
FTSE AIM Index,FTAI.L
FTSE EPRA NAREIT Asia USD version,UGAS.L
FTSE EPRA NAREIT Europe Non-REITs,ENEE.L
FTSE Eurotop 300 Index,FTOP.L
FTSE Small Cap Index,FTSC.L
FULCRUM PHARMA,FUL.L
"Fuller, Smith & Turner plc",FSTA.L
FUSION IP,FIP.L
FUTURA MEDICAL,FUM.L
Futuragene,FGN.L
Future Network plc ord 1p,FUTR.L
Fyffes,FFY.L
Galantas Gold Corporation,GAL.L
Galiform,GFRM.L
GALLEON HLDGS,GON.L
GALLIFORD TRY,GFRD.L
Game Group,GMG.L
